Wildlife Population,Deforestation Rate,Avg. Temperature (°C),Avg. Humidity (%),Livestock Population Density,Proximity to Water Sources,Species Specificity,human_population
0.45833333333333326,0.8333333333333333,0.5277777777777777,0.09999999999999964,0.43999999999999995,0.65,0.75,0.10094522369380968
0.45833333333333326,0.49999999999999994,0.5000000000000009,0.2599999999999998,0.46666666666666656,0.8,0.82,0.2460557585007011
0.2083333333333337,0.3333333333333333,0.30555555555555536,0.4400000000000013,0.46666666666666656,0.72,0.75,0.024431678842751055
0.2916666666666672,0.16666666666666663,0.5000000000000009,0.3100000000000005,0.6533333333333333,0.82,0.9,0.18618087794628485
0.2916666666666672,0.16666666666666663,0.5555555555555562,0.14000000000000057,0.33333333333333337,0.82,0.9,0.17054036715276696
0.2083333333333337,0.3333333333333333,0.30555555555555536,0.20000000000000107,0.29333333333333333,0.73,0.75,0.023382953373232537
0.2916666666666672,0.3333333333333333,0.7222222222222223,0.09000000000000163,0.5333333333333334,0.75,0.8,0.3488409870916083
0.5416666666666667,0.3333333333333333,0.5555555555555562,0.20000000000000107,0.3466666666666667,0.71,0.65,9.934727321249002e-05
0.41666666666666674,0.3333333333333333,0.5555555555555562,0.08000000000000007,0.41333333333333333,0.74,0.85,0.11356548427542264
0.37500000000000067,0.3333333333333333,0.3888888888888893,0.25,0.6266666666666667,0.74,0.85,0.11842641222252526
0.9166666666666667,0.8333333333333333,0.7777777777777786,0.870000000000001,0.48,0.84,0.88,0.10959937644710882
0.2083333333333337,0.3333333333333333,0.5555555555555562,0.25,0.52,0.72,0.75,0.024789934216909903
0.45833333333333326,0.49999999999999994,0.4722222222222223,0.6400000000000006,0.5333333333333334,0.77,0.82,0.24720573701188883
0.45833333333333326,0.49999999999999994,0.08333333333333393,0.4800000000000004,0.8133333333333335,0.87,0.95,0.779060556749233
0.2083333333333337,0.3333333333333333,0.16666666666666696,0.6300000000000008,0.3600000000000001,0.72,0.75,0.023747009702903683
1.0000000000000002,0.8333333333333333,0.27777777777777857,0.10999999999999943,0.8533333333333335,0.84,0.88,0.12011819997856156
0.12500000000000022,0.0,0.02777777777777768,0.7200000000000006,0.3733333333333334,0.72,0.8,0.05905963717958299
0.5000000000000002,0.3333333333333333,0.5000000000000009,0.5200000000000014,0.3866666666666666,0.74,0.65,0.0001131568205981915
0.04166666666666674,0.6666666666666665,0.7222222222222223,0.7599999999999998,0.21333333333333337,0.74,0.78,0.05446280364224212
0.2916666666666672,0.16666666666666663,0.25,0.6699999999999999,0.3600000000000001,0.8,0.9,0.1730628408272762
0.2916666666666672,0.16666666666666663,0.44444444444444464,0.2400000000000002,0.52,0.8,0.9,0.1821513160296807
0.2083333333333337,0.3333333333333333,0.44444444444444464,0.75,0.2533333333333333,0.72,0.75,0.023021264706281457
0.2083333333333337,0.3333333333333333,0.6944444444444455,0.8499999999999996,0.21333333333333337,0.69,0.75,0.02266226375476836
0.04166666666666674,0.6666666666666665,0.6111111111111116,0.5800000000000001,0.2533333333333333,0.75,0.78,0.055353313960227114
0.5000000000000002,0.49999999999999994,0.5000000000000009,0.6500000000000004,0.6933333333333334,0.77,0.82,0.2505205993876017
0.2916666666666672,0.16666666666666663,0.19444444444444464,0.20000000000000107,0.6000000000000001,0.82,0.9,0.18418138132374479
0.5000000000000002,0.49999999999999994,0.44444444444444464,0.07000000000000028,0.5333333333333334,0.88,0.95,0.7714533037101751
0.0833333333333337,0.0,0.2222222222222232,0.5900000000000016,0.29333333333333333,0.7,0.8,0.05777766238099226
0.04166666666666674,0.6666666666666665,0.8333333333333339,0.8499999999999996,0.5466666666666669,0.71,0.78,0.05974774688614801
0.2916666666666672,0.16666666666666663,0.5833333333333339,0.22000000000000064,0.41333333333333333,0.8,0.9,0.17631205602618844
0.5833333333333337,0.16666666666666663,0.8055555555555562,0.09999999999999964,0.3733333333333334,0.78,0.7,0.0009016466977835253
0.2916666666666672,0.16666666666666663,0.5555555555555562,0.10999999999999943,0.42666666666666664,0.83,0.9,0.17631205602618844
0.41666666666666674,0.3333333333333333,0.3888888888888893,0.35999999999999943,0.6400000000000001,0.75,0.85,0.11938010021963509
0.5416666666666667,0.3333333333333333,0.27777777777777857,0.75,0.22666666666666657,0.74,0.65,6.943325497509294e-05
0.2500000000000002,0.3333333333333333,0.6388888888888902,0.9800000000000004,0.42666666666666664,0.69,0.75,0.024087022072141098
0.04166666666666674,0.6666666666666665,0.5000000000000009,0.75,0.5333333333333334,0.74,0.78,0.05974774688614801
0.2916666666666672,0.16666666666666663,0.30555555555555536,0.6900000000000013,0.3733333333333334,0.83,0.9,0.1730628408272762
0.8333333333333337,1.0,0.5833333333333339,0.7200000000000006,0.8666666666666667,0.91,0.92,0.9807334737605852
0.41666666666666674,0.3333333333333333,0.3888888888888893,0.09000000000000163,0.3466666666666667,0.78,0.85,0.10516385675352496
