Wildlife Population,Deforestation Rate,Avg. Temperature (°C),Avg. Humidity (%),Livestock Population Density,Proximity to Water Sources,Species Specificity
0.45833333333333326,0.8333333333333333,0.5277777777777777,0.09999999999999964,0.43999999999999995,0.65,0.75
0.45833333333333326,0.49999999999999994,0.5000000000000009,0.2599999999999998,0.46666666666666656,0.8,0.82
0.2083333333333337,0.3333333333333333,0.30555555555555536,0.4400000000000013,0.46666666666666656,0.72,0.75
0.2916666666666672,0.16666666666666663,0.5000000000000009,0.3100000000000005,0.6533333333333333,0.82,0.9
0.2916666666666672,0.16666666666666663,0.5555555555555562,0.14000000000000057,0.33333333333333337,0.82,0.9
0.2083333333333337,0.3333333333333333,0.30555555555555536,0.20000000000000107,0.29333333333333333,0.73,0.75
0.2916666666666672,0.3333333333333333,0.7222222222222223,0.09000000000000163,0.5333333333333334,0.75,0.8
0.5416666666666667,0.3333333333333333,0.5555555555555562,0.20000000000000107,0.3466666666666667,0.71,0.65
0.41666666666666674,0.3333333333333333,0.5555555555555562,0.08000000000000007,0.41333333333333333,0.74,0.85
0.37500000000000067,0.3333333333333333,0.3888888888888893,0.25,0.6266666666666667,0.74,0.85
0.9166666666666667,0.8333333333333333,0.7777777777777786,0.870000000000001,0.48,0.84,0.88
0.2083333333333337,0.3333333333333333,0.5555555555555562,0.25,0.52,0.72,0.75
0.45833333333333326,0.49999999999999994,0.4722222222222223,0.6400000000000006,0.5333333333333334,0.77,0.82
0.45833333333333326,0.49999999999999994,0.08333333333333393,0.4800000000000004,0.8133333333333335,0.87,0.95
0.2083333333333337,0.3333333333333333,0.16666666666666696,0.6300000000000008,0.3600000000000001,0.72,0.75
1.0000000000000002,0.8333333333333333,0.27777777777777857,0.10999999999999943,0.8533333333333335,0.84,0.88
0.12500000000000022,0.0,0.02777777777777768,0.7200000000000006,0.3733333333333334,0.72,0.8
0.5000000000000002,0.3333333333333333,0.5000000000000009,0.5200000000000014,0.3866666666666666,0.74,0.65
0.04166666666666674,0.6666666666666665,0.7222222222222223,0.7599999999999998,0.21333333333333337,0.74,0.78
0.2916666666666672,0.16666666666666663,0.25,0.6699999999999999,0.3600000000000001,0.8,0.9
0.2916666666666672,0.16666666666666663,0.44444444444444464,0.2400000000000002,0.52,0.8,0.9
